sim_minute,hour_of_day,solar_output_kw,consumption_kw,battery_level_kwh,net_flow_kw,time_sin,time_cos,is_deficit
0,0.0,0.0,0.0211,4.9789,-0.0211,0.0,1.0,0
1,0.0167,0.0,0.0214,4.9575,-0.0214,0.004363,0.99999,0
2,0.0333,0.0,0.0201,4.9374,-0.0201,0.008727,0.999962,0
3,0.05,0.0,0.0216,4.9158,-0.0216,0.01309,0.999914,0
4,0.0667,0.0,0.0204,4.8954,-0.0204,0.017452,0.999848,0
5,0.0833,0.0,0.0216,4.8738,-0.0216,0.021815,0.999762,0
6,0.1,0.0,0.0242,4.8496,-0.0242,0.026177,0.999657,0
7,0.1167,0.0,0.0208,4.8288,-0.0208,0.030539,0.999534,0
8,0.1333,0.0,0.0198,4.809,-0.0198,0.034899,0.999391,0
9,0.15,0.0,0.0218,4.7872,-0.0218,0.03926,0.999229,0
10,0.1667,0.0,0.0236,4.7636,-0.0236,0.043619,0.999048,0
11,0.1833,0.0,0.0231,4.7405,-0.0231,0.047978,0.998848,0
12,0.2,0.0,0.0207,4.7198,-0.0207,0.052336,0.99863,0
13,0.2167,0.0,0.0212,4.6986,-0.0212,0.056693,0.998392,0
14,0.2333,0.0,0.0172,4.6814,-0.0172,0.061049,0.998135,0
15,0.25,0.0,0.0244,4.657,-0.0244,0.065403,0.997859,0
16,0.2667,0.0,0.0219,4.6351,-0.0219,0.069756,0.997564,0
17,0.2833,0.0,0.023,4.6121,-0.023,0.074108,0.99725,0
18,0.3,0.0,0.0221,4.59,-0.0221,0.078459,0.996917,0
19,0.3167,0.0,0.0234,4.5666,-0.0234,0.082808,0.996566,0
20,0.3333,0.0,0.0193,4.5473,-0.0193,0.087156,0.996195,0
21,0.35,0.0,0.023,4.5243,-0.023,0.091502,0.995805,0
22,0.3667,0.0,0.024,4.5003,-0.024,0.095846,0.995396,0
23,0.3833,0.0,0.0232,4.4771,-0.0232,0.100188,0.994969,0
24,0.4,0.0,0.0225,4.4546,-0.0225,0.104528,0.994522,0
25,0.4167,0.0,0.023,4.4316,-0.023,0.108867,0.994056,0
26,0.4333,0.0,0.0193,4.4123,-0.0193,0.113203,0.993572,0
27,0.45,0.0,0.022,4.3903,-0.022,0.117537,0.993068,0
28,0.4667,0.0,0.0206,4.3697,-0.0206,0.121869,0.992546,0
29,0.4833,0.0,0.0231,4.3466,-0.0231,0.126199,0.992005,0
30,0.5,0.0,0.0216,4.325,-0.0216,0.130526,0.991445,0
31,0.5167,0.0,0.0218,4.3032,-0.0218,0.134851,0.990866,0
32,0.5333,0.0,0.0204,4.2828,-0.0204,0.139173,0.990268,0
33,0.55,0.0,0.0242,4.2586,-0.0242,0.143493,0.989651,0
34,0.5667,0.0,0.0246,4.234,-0.0246,0.147809,0.989016,0
35,0.5833,0.0,0.0183,4.2157,-0.0183,0.152123,0.988362,0
36,0.6,0.0,0.024,4.1917,-0.024,0.156434,0.987688,0
37,0.6167,0.0,0.0209,4.1708,-0.0209,0.160743,0.986996,0
38,0.6333,0.0,0.0262,4.1446,-0.0262,0.165048,0.986286,0
39,0.65,0.0,0.0187,4.1259,-0.0187,0.16935,0.985556,0
40,0.6667,0.0,0.0226,4.1033,-0.0226,0.173648,0.984808,0
41,0.6833,0.0,0.0164,4.0869,-0.0164,0.177944,0.984041,0
42,0.7,0.0,0.0161,4.0708,-0.0161,0.182236,0.983255,0
43,0.7167,0.0,0.0204,4.0504,-0.0204,0.186524,0.98245,0
44,0.7333,0.0,0.024,4.0264,-0.024,0.190809,0.981627,0
45,0.75,0.0,0.0203,4.0061,-0.0203,0.19509,0.980785,0
46,0.7667,0.0,0.0232,3.9829,-0.0232,0.199368,0.979925,0
47,0.7833,0.0,0.021,3.9619,-0.021,0.203642,0.979045,0
48,0.8,0.0,0.0188,3.9431,-0.0188,0.207912,0.978148,0
49,0.8167,0.0,0.0232,3.9199,-0.0232,0.212178,0.977231,0
50,0.8333,0.0,0.0191,3.9008,-0.0191,0.21644,0.976296,0
51,0.85,0.0,0.0198,3.881,-0.0198,0.220697,0.975342,0
52,0.8667,0.0,0.0213,3.8597,-0.0213,0.224951,0.97437,0
53,0.8833,0.0,0.0207,3.839,-0.0207,0.2292,0.973379,0
54,0.9,0.0,0.0224,3.8166,-0.0224,0.233445,0.97237,0
55,0.9167,0.0,0.0212,3.7954,-0.0212,0.237686,0.971342,0
56,0.9333,0.0,0.0206,3.7748,-0.0206,0.241922,0.970296,0
57,0.95,0.0,0.0203,3.7545,-0.0203,0.246153,0.969231,0
58,0.9667,0.0,0.02,3.7345,-0.02,0.25038,0.968148,0
59,0.9833,0.0,0.022,3.7125,-0.022,0.254602,0.967046,0
60,1.0,0.0,0.021,3.6915,-0.021,0.258819,0.965926,0
61,1.0167,0.0,0.0207,3.6708,-0.0207,0.263031,0.964787,0
62,1.0333,0.0,0.0193,3.6515,-0.0193,0.267238,0.96363,0
63,1.05,0.0,0.0188,3.6327,-0.0188,0.27144,0.962455,0
64,1.0667,0.0,0.0218,3.6109,-0.0218,0.275637,0.961262,0
65,1.0833,0.0,0.0214,3.5895,-0.0214,0.279829,0.96005,0
66,1.1,0.0,0.0222,3.5673,-0.0222,0.284015,0.95882,0
67,1.1167,0.0,0.0222,3.5451,-0.0222,0.288196,0.957571,0
68,1.1333,0.0,0.0217,3.5234,-0.0217,0.292372,0.956305,0
69,1.15,0.0,0.0199,3.5035,-0.0199,0.296542,0.95502,0
70,1.1667,0.0,0.0228,3.4807,-0.0228,0.300706,0.953717,0
71,1.1833,0.0,0.0207,3.46,-0.0207,0.304864,0.952396,0
72,1.2,0.0,0.0208,3.4392,-0.0208,0.309017,0.951057,0
73,1.2167,0.0,0.0195,3.4197,-0.0195,0.313164,0.949699,0
74,1.2333,0.0,0.0208,3.3989,-0.0208,0.317305,0.948324,0
75,1.25,0.0,0.0212,3.3777,-0.0212,0.321439,0.94693,0
76,1.2667,0.0,0.0192,3.3585,-0.0192,0.325568,0.945519,0
77,1.2833,0.0,0.0174,3.3411,-0.0174,0.329691,0.944089,0
78,1.3,0.0,0.0227,3.3184,-0.0227,0.333807,0.942641,0
79,1.3167,0.0,0.0221,3.2963,-0.0221,0.337917,0.941176,0
80,1.3333,0.0,0.0229,3.2734,-0.0229,0.34202,0.939693,0
81,1.35,0.0,0.0178,3.2556,-0.0178,0.346117,0.938191,0
82,1.3667,0.0,0.0218,3.2338,-0.0218,0.350207,0.936672,0
83,1.3833,0.0,0.0253,3.2085,-0.0253,0.354291,0.935135,0
84,1.4,0.0,0.0213,3.1872,-0.0213,0.358368,0.93358,0
85,1.4167,0.0,0.0217,3.1655,-0.0217,0.362438,0.932008,0
86,1.4333,0.0,0.0204,3.1451,-0.0204,0.366501,0.930418,0
87,1.45,0.0,0.0229,3.1222,-0.0229,0.370557,0.92881,0
88,1.4667,0.0,0.0235,3.0987,-0.0235,0.374607,0.927184,0
89,1.4833,0.0,0.0213,3.0774,-0.0213,0.378649,0.925541,0
90,1.5,0.0,0.0221,3.0553,-0.0221,0.382683,0.92388,0
91,1.5167,0.0,0.0175,3.0378,-0.0175,0.386711,0.922201,0
92,1.5333,0.0,0.0189,3.0189,-0.0189,0.390731,0.920505,0
93,1.55,0.0,0.0194,2.9995,-0.0194,0.394744,0.918791,0
94,1.5667,0.0,0.0227,2.9768,-0.0227,0.398749,0.91706,0
95,1.5833,0.0,0.0233,2.9535,-0.0233,0.402747,0.915311,0
96,1.6,0.0,0.0224,2.9311,-0.0224,0.406737,0.913545,0
97,1.6167,0.0,0.0219,2.9092,-0.0219,0.410719,0.911762,0
98,1.6333,0.0,0.022,2.8872,-0.022,0.414693,0.909961,0
99,1.65,0.0,0.0166,2.8706,-0.0166,0.41866,0.908143,0
100,1.6667,0.0,0.024,2.8466,-0.024,0.422618,0.906308,0
101,1.6833,0.0,0.0199,2.8267,-0.0199,0.426569,0.904455,0
102,1.7,0.0,0.0182,2.8085,-0.0182,0.430511,0.902585,0
103,1.7167,0.0,0.0233,2.7852,-0.0233,0.434445,0.900698,0
104,1.7333,0.0,0.0209,2.7643,-0.0209,0.438371,0.898794,0
105,1.75,0.0,0.0211,2.7432,-0.0211,0.442289,0.896873,0
